sourceTypeID,roadTypeID,roadTypeVMTFraction,FIP
31,1,0,36035
31,2,0,36035
31,3,0.6503,36035
31,4,0,36035
31,5,0.3497,36035
32,1,0,36035
32,2,0,36035
32,3,0.6503,36035
32,4,0,36035
32,5,0.3497,36035
41,1,0,36035
41,2,0,36035
41,3,0.6952,36035
41,4,0,36035
41,5,0.3048,36035
42,1,0,36035
42,2,0,36035
42,3,0.6952,36035
42,4,0,36035
42,5,0.3048,36035
43,1,0,36035
43,2,0,36035
43,3,0.6952,36035
43,4,0,36035
43,5,0.3048,36035
51,1,0,36035
51,2,0,36035
51,3,0.7407,36035
51,4,0,36035
51,5,0.2593,36035
52,1,0,36035
52,2,0,36035
52,3,0.7407,36035
52,4,0,36035
52,5,0.2593,36035
53,1,0,36035
53,2,0,36035
53,3,0.7407,36035
53,4,0,36035
53,5,0.2593,36035
53,1,0,36035
54,2,0,36035
54,3,0.7407,36035
54,4,0,36035
54,5,0.2593,36035
61,1,0,36035
61,2,0,36035
61,3,0.825,36035
61,4,0,36035
61,5,0.175,36035
62,1,0,36035
62,2,0,36035
62,3,0.825,36035
62,4,0,36035
62,5,0.175,36035
11,1,0,36037
11,2,0.198,36037
11,3,0.6564,36037
11,4,0.0432,36037
11,5,0.1024,36037
21,1,0,36037
21,2,0.3553,36037
21,3,0.4589,36037
21,4,0.0717,36037
21,5,0.1141,36037
31,1,0,36037
31,2,0.3553,36037
31,3,0.4589,36037
31,4,0.0717,36037
31,5,0.1141,36037
32,1,0,36037
32,2,0.3553,36037
32,3,0.4589,36037
32,4,0.0717,36037
32,5,0.1141,36037
41,1,0,36037
41,2,0.3778,36037
41,3,0.4773,36037
41,4,0.0494,36037
41,5,0.0955,36037
42,1,0,36037
42,2,0.3778,36037
42,3,0.4773,36037
42,4,0.0494,36037
42,5,0.0955,36037
43,1,0,36037
43,2,0.3778,36037
43,3,0.4773,36037
43,4,0.0494,36037
43,5,0.0955,36037
51,1,0,36037
51,2,0.3396,36037
51,3,0.5566,36037
51,4,0.0372,36037
51,5,0.0666,36037
52,1,0,36037
52,2,0.3396,36037
52,3,0.5566,36037
52,4,0.0372,36037
52,5,0.0666,36037
53,1,0,36037
53,2,0.3396,36037
53,3,0.5566,36037
53,4,0.0372,36037
53,5,0.0666,36037
53,1,0,36037
54,2,0.3396,36037
54,3,0.5566,36037
54,4,0.0372,36037
54,5,0.0666,36037
61,1,0,36037
61,2,0.7185,36037
61,3,0.2503,36037
61,4,0.0186,36037
61,5,0.0126,36037
62,1,0,36037
62,2,0.7185,36037
62,3,0.2503,36037
62,4,0.0186,36037
62,5,0.0126,36037
11,1,0,36039
11,2,0.0932,36039
11,3,0.7944,36039
11,4,0.0054,36039
11,5,0.107,36039
21,1,0,36039
21,2,0.4095,36039
21,3,0.4284,36039
21,4,0.0153,36039
21,5,0.1468,36039
31,1,0,36039
31,2,0.4095,36039
31,3,0.4284,36039
31,4,0.0153,36039
31,5,0.1468,36039
32,1,0,36039
32,2,0.4095,36039
32,3,0.4284,36039
