OBJECTID,STATEFP20,COUNTYFP20,TRACTCE20,BLOCKCE20,GEOID20,NAME20,MTFCC20,UR20,UACE20,UATYPE20,FUNCSTAT20,ALAND20,AWATER20,INTPTLAT20,INTPTLON20
3321,36,119,007100,1015,361190071001015,Block 1015,G5040, , , ,S,0,6289301,+40.9021382,-073.7355654
3322,36,119,005704,1010,361190057041010,Block 1010,G5040, , , ,S,0,212430,+40.8841052,-073.7798032
3323,36,119,012303,3064,361190123033064,Block 3064,G5040, , , ,S,98249,0,+41.0813337,-073.7125780
3324,36,119,005902,3012,361190059023012,Block 3012,G5040, , , ,S,0,107824,+40.8916924,-073.7790516
3325,36,119,011200,2024,361190112002024,Block 2024,G5040, , , ,S,86825,0,+41.0453408,-073.8069877
3326,36,119,012102,3025,361190121023025,Block 3025,G5040, , , ,S,2692,0,+41.1271892,-073.7888698
3327,36,119,012102,3024,361190121023024,Block 3024,G5040, , , ,S,4800,0,+41.1268563,-073.7881006
3328,36,119,014908,2010,361190149082010,Block 2010,G5040, , , ,S,80725,0,+41.3138221,-073.7669156
3329,36,119,014701,1042,361190147011042,Block 1042,G5040, , , ,S,7323,0,+41.2981613,-073.9356618
3330,36,119,007800,2000,361190078002000,Block 2000,G5040, , , ,S,0,8250,+40.9949368,-073.6599736
3331,36,119,007800,1012,361190078001012,Block 1012,G5040, , , ,S,1558,0,+40.9882257,-073.6665991
3332,36,119,008000,2022,361190080002022,Block 2022,G5040, , , ,S,57956,0,+40.9975618,-073.6605827
3333,36,119,007600,1002,361190076001002,Block 1002,G5040, , , ,S,95503,0,+40.9745561,-073.6637578
3334,36,119,008403,1016,361190084031016,Block 1016,G5040, , , ,S,70375,0,+40.9672176,-073.7207604
3335,36,119,007401,3007,361190074013007,Block 3007,G5040, , , ,S,20035,0,+40.9549313,-073.7246653
3336,36,119,007402,3014,361190074023014,Block 3014,G5040, , , ,S,13331,0,+40.9533700,-073.7235060
3337,36,119,007402,3023,361190074023023,Block 3023,G5040, , , ,S,0,19051,+40.9509457,-073.7239175
3338,36,119,007402,3015,361190074023015,Block 3015,G5040, , , ,S,1905,0,+40.9502369,-073.7255592
3339,36,119,007402,3018,361190074023018,Block 3018,G5040, , , ,S,38622,0,+40.9487700,-073.7235678
3340,36,119,007402,1009,361190074021009,Block 1009,G5040, , , ,S,37276,0,+40.9470625,-073.7260770
3341,36,119,007402,3022,361190074023022,Block 3022,G5040, , , ,S,31100,0,+40.9449595,-073.7247717
3342,36,119,007402,3002,361190074023002,Block 3002,G5040, , , ,S,54761,0,+40.9518376,-073.7198662
3343,36,119,007402,2009,361190074022009,Block 2009,G5040, , , ,S,20302,0,+40.9562784,-073.7197807
3344,36,119,007402,3003,361190074023003,Block 3003,G5040, , , ,S,2040,0,+40.9538222,-073.7195415
3345,36,119,007402,2011,361190074022011,Block 2011,G5040, , , ,S,14003,0,+40.9549591,-073.7186605
3346,36,119,007402,2015,361190074022015,Block 2015,G5040, , , ,S,10781,0,+40.9556232,-073.7175155
3347,36,119,007402,3001,361190074023001,Block 3001,G5040, , , ,S,53405,0,+40.9534998,-073.7167322
3348,36,119,007402,3006,361190074023006,Block 3006,G5040, , , ,S,126099,0,+40.9482849,-073.7195563
3349,36,119,007402,3000,361190074023000,Block 3000,G5040, , , ,S,10961,0,+40.9542597,-073.7154243
3350,36,119,012700,1021,361190127001021,Block 1021,G5040, , , ,S,0,77316,+41.1978847,-073.5997807
3351,36,119,012700,1012,361190127001012,Block 1012,G5040, , , ,S,51891,0,+41.2022468,-073.6036372
3352,36,119,002202,3009,361190022023009,Block 3009,G5040, , , ,S,7912,0,+40.9490678,-073.8385763
3353,36,119,013102,2007,361190131022007,Block 2007,G5040, , , ,S,15734,0,+41.1603452,-073.7723487
3354,36,119,012201,1007,361190122011007,Block 1007,G5040, , , ,S,45475,0,+41.1516226,-073.7813508
3355,36,119,013104,4018,361190131044018,Block 4018,G5040, , , ,S,11425,0,+41.1561603,-073.7775914
3356,36,119,011800,3049,361190118003049,Block 3049,G5040, , , ,S,18817,0,+41.1090453,-073.8665758
3357,36,119,013102,2011,361190131022011,Block 2011,G5040, , , ,S,13845,0,+41.1611646,-073.7667429
3358,36,119,012202,1014,361190122021014,Block 1014,G5040, , , ,S,27746,0,+41.1365372,-073.7867794
3359,36,119,012202,4009,361190122024009,Block 4009,G5040, , , ,S,32951,0,+41.1351375,-073.7891538
3360,36,119,012202,4008,361190122024008,Block 4008,G5040, , , ,S,11744,0,+41.1362367,-073.7885226
3361,36,119,013700,2010,361190137002010,Block 2010,G5040, , , ,S,174743,0,+41.1689808,-073.8162429
3362,36,119,013202,1028,361190132021028,Block 1028,G5040, , , ,S,103100,0,+41.1426821,-073.8230950
3363,36,119,013202,1029,361190132021029,Block 1029,G5040, , , ,S,11758,0,+41.1471560,-073.8238861
3364,36,119,013201,1012,361190132011012,Block 1012,G5040, , , ,S,5996,0,+41.1365575,-073.8198800
3365,36,119,010701,1016,361190107011016,Block 1016,G5040, , , ,S,23211,0,+40.9969163,-073.8541558
3366,36,119,010701,1014,361190107011014,Block 1014,G5040, , , ,S,69156,0,+40.9945125,-073.8508380
3367,36,119,013500,2000,361190135002000,Block 2000,G5040, , , ,S,11645,0,+41.1718253,-073.8436069
3368,36,119,012101,1001,361190121011001,Block 1001,G5040, , , ,S,302549,0,+41.1358382,-073.7476504
3369,36,119,013700,3013,361190137003013,Block 3013,G5040, , , ,S,285819,0,+41.1779325,-073.8501181
3370,36,119,982000,1007,361199820001007,Block 1007,G5040, , , ,S,3353,0,+41.1534896,-073.8705865
3371,36,119,000403,4001,361190004034001,Block 4001,G5040, , , ,S,35110,0,+40.9456169,-073.8993058
3372,36,119,012201,2000,361190122012000,Block 2000,G5040, , , ,S,27290,0,+41.1410336,-073.7795348
3373,36,119,012803,1000,361190128031000,Block 1000,G5040, , , ,S,149232,0,+41.2474031,-073.7121648
3374,36,119,013104,1029,361190131041029,Block 1029,G5040, , , ,S,104439,0,+41.2216062,-073.7385702
3375,36,119,013000,3025,361190130003025,Block 3025,G5040, , , ,S,75056,0,+41.2100380,-073.7387663
3376,36,119,014607,3019,361190146073019,Block 3019,G5040, , , ,S,14076,0,+41.2783629,-073.8534910
3377,36,119,012804,2002,361190128042002,Block 2002,G5040, , , ,S,20314,0,+41.2373370,-073.6993890
3378,36,119,014805,2003,361190148052003,Block 2003,G5040, , , ,S,1635614,0,+41.2760778,-073.8478990
3379,36,119,012804,1029,361190128041029,Block 1029,G5040, , , ,S,1001993,39160,+41.2130211,-073.6767143
3380,36,119,012700,3005,361190127003005,Block 3005,G5040, , , ,S,1063791,0,+41.2106763,-073.6552851
3381,36,119,013000,5000,361190130005000,Block 5000,G5040, , , ,S,327706,0,+41.1977568,-073.7358226
3382,36,119,007500,1007,361190075001007,Block 1007,G5040, , , ,S,349114,0,+40.9700606,-073.6994080
